Total budget,Osaston nimi,Tuloluvun nimi,Tulomomentin nimi,total
Koko budjetti,VEROT JA VERONLUONTEISET TULOT,Tulon ja varallisuuden perusteella kannettavat verot,Ansio- ja pääomatuloverot,8866000000
Koko budjetti,VEROT JA VERONLUONTEISET TULOT,Tulon ja varallisuuden perusteella kannettavat verot,Yhteisövero,2467000000
Koko budjetti,VEROT JA VERONLUONTEISET TULOT,Tulon ja varallisuuden perusteella kannettavat verot,Korkotulojen lähdevero,120000000
Koko budjetti,VEROT JA VERONLUONTEISET TULOT,Tulon ja varallisuuden perusteella kannettavat verot,Perintö- ja lahjavero,540000000
Koko budjetti,VEROT JA VERONLUONTEISET TULOT,Tulon ja varallisuuden perusteella kannettavat verot,Pankkivero,0
Koko budjetti,VEROT JA VERONLUONTEISET TULOT,Tulon ja varallisuuden perusteella kannettavat verot,Voimalaitosvero,0
Koko budjetti,VEROT JA VERONLUONTEISET TULOT,Liikevaihdon perusteella kannettavat verot ja maksut,Arvonlisävero,16932000000
Koko budjetti,VEROT JA VERONLUONTEISET TULOT,Liikevaihdon perusteella kannettavat verot ja maksut,Eräistä vakuutusmaksuista suoritettava vero,760000000
Koko budjetti,VEROT JA VERONLUONTEISET TULOT,Liikevaihdon perusteella kannettavat verot ja maksut,Apteekkimaksut,157500000
Koko budjetti,VEROT JA VERONLUONTEISET TULOT,Valmisteverot,Tupakkavero,863000000
Koko budjetti,VEROT JA VERONLUONTEISET TULOT,Valmisteverot,Alkoholijuomavero,1384000000
Koko budjetti,VEROT JA VERONLUONTEISET TULOT,Valmisteverot,Makeisten jäätelön ja virvoitusjuomien valmistevero,264000000
Koko budjetti,VEROT JA VERONLUONTEISET TULOT,Valmisteverot,Energiaverot,4581000000
Koko budjetti,VEROT JA VERONLUONTEISET TULOT,Valmisteverot,Eräiden juomapakkausten valmistevero,15000000
Koko budjetti,VEROT JA VERONLUONTEISET TULOT,Muut verot,Autovero,993000000
Koko budjetti,VEROT JA VERONLUONTEISET TULOT,Muut verot,Varainsiirtovero,614000000
Koko budjetti,VEROT JA VERONLUONTEISET TULOT,Muut verot,Arpajaisvero,225000000
Koko budjetti,VEROT JA VERONLUONTEISET TULOT,Muut verot,Ajoneuvovero,957000000
Koko budjetti,VEROT JA VERONLUONTEISET TULOT,Muut verot,Jätevero,64000000
Koko budjetti,VEROT JA VERONLUONTEISET TULOT,Muut veronluonteiset tulot,Lästimaksut,0
Koko budjetti,VEROT JA VERONLUONTEISET TULOT,Muut veronluonteiset tulot,Ratavero,5450000
Koko budjetti,VEROT JA VERONLUONTEISET TULOT,Muut veronluonteiset tulot,Eräät viestinnän maksut,28783000
Koko budjetti,VEROT JA VERONLUONTEISET TULOT,Muut veronluonteiset tulot,Lentoliikenteen valvontamaksu,11100000
Koko budjetti,VEROT JA VERONLUONTEISET TULOT,Muut veronluonteiset tulot,Väylämaksut,42628000
Koko budjetti,VEROT JA VERONLUONTEISET TULOT,Muut veronluonteiset tulot,Katsastustoiminnan valvontamaksu,7329000
Koko budjetti,VEROT JA VERONLUONTEISET TULOT,Muut veronluonteiset tulot,Öljyjätemaksu,4000000
Koko budjetti,VEROT JA VERONLUONTEISET TULOT,Muut veronluonteiset tulot,Muut verotulot,3500000
Koko budjetti,VEROT JA VERONLUONTEISET TULOT,Muut veronluonteiset tulot,Sähkö- ja maakaasuverkkomaksut ja Perämeren tuulivoima-alueella perittävä tuulivoimamaksu,3020000
Koko budjetti,VEROT JA VERONLUONTEISET TULOT,Muut veronluonteiset tulot,Rahoitusvakausviraston hallintomaksut,3000000
Koko budjetti,SEKALAISET TULOT,Ulkoasiainministeriön hallinnonala,Ulkoasiainministeriön hallinnonalan tulot,59620000
Koko budjetti,SEKALAISET TULOT,Oikeusministeriön hallinnonala,Tuomioistuintulot,31400000
Koko budjetti,SEKALAISET TULOT,Oikeusministeriön hallinnonala,Yleisen edunvalvonnan tulot,22200000
Koko budjetti,SEKALAISET TULOT,Oikeusministeriön hallinnonala,Ulosottomaksut,72000000
Koko budjetti,SEKALAISET TULOT,Oikeusministeriön hallinnonala,Oikeusministeriön hallinnonalan muut tulot,150000
Koko budjetti,SEKALAISET TULOT,Sisäministeriön hallinnonala,EU:lta saatavat tulot,14470000
Koko budjetti,SEKALAISET TULOT,Sisäministeriön hallinnonala,Sisäministeriön hallinnonalan muut tulot,450000
Koko budjetti,SEKALAISET TULOT,Puolustusministeriön hallinnonala,Puolustushallinnon rakennuslaitoksen tulot,8000
Koko budjetti,SEKALAISET TULOT,Puolustusministeriön hallinnonala,Tulot irtaimen omaisuuden myynnistä ja rojaltimaksuista,18000
Koko budjetti,SEKALAISET TULOT,Puolustusministeriön hallinnonala,Puolustusministeriön hallinnonalan muut tulot,4050000
Koko budjetti,SEKALAISET TULOT,Valtiovarainministeriön hallinnonala,Tullin tulot,4013000
Koko budjetti,SEKALAISET TULOT,Valtiovarainministeriön hallinnonala,Kuntien osuudet verotuskustannuksista,141097000
Koko budjetti,SEKALAISET TULOT,Valtiovarainministeriön hallinnonala,Kansaneläkelaitoksen osuus verotuskustannuksista,27028000
Koko budjetti,SEKALAISET TULOT,Valtiovarainministeriön hallinnonala,Evankelisluterilaisten seurakuntien osuudet verotuskustannuksista,21531000
Koko budjetti,SEKALAISET TULOT,Valtiovarainministeriön hallinnonala,Valtion tieto- ja viestintätekniikkakeskuksen eräät tulot,3200000
Koko budjetti,SEKALAISET TULOT,Valtiovarainministeriön hallinnonala,Metallirahatulot,20000000
Koko budjetti,SEKALAISET TULOT,Valtiovarainministeriön hallinnonala,Siirto valtion eläkerahastosta,2274512000
Koko budjetti,SEKALAISET TULOT,Valtiovarainministeriön hallinnonala,Muiden eläkelaitosten puolesta maksettujen eläkemenojen hyvitykset,170300000
Koko budjetti,SEKALAISET TULOT,Valtiovarainministeriön hallinnonala,Vakuutusmaksuja vastaavat maksut,19846000
Koko budjetti,SEKALAISET TULOT,Valtiovarainministeriön hallinnonala,Työturvallisuusmaksu,920000
Koko budjetti,SEKALAISET TULOT,Valtiovarainministeriön hallinnonala,Tulot rahoitusmarkkinoiden vakauttamisesta,1100000
Koko budjetti,SEKALAISET TULOT,Valtiovarainministeriön hallinnonala,Euroopan unionin perinteisten omien varojen kantopalkkiot,46300000
Koko budjetti,SEKALAISET TULOT,Valtiovarainministeriön hallinnonala,Euroopan unionilta saatavat tulot matkamenojen korvaamiseen,2900000
Koko budjetti,SEKALAISET TULOT,Valtiovarainministeriön hallinnonala,Valtiovarainministeriön hallinnonalan muut tulot,18820000
Koko budjetti,SEKALAISET TULOT,Opetus- ja kulttuuriministeriön hallinnonala,Opintotukitoiminnan tulot,20300000
Koko budjetti,SEKALAISET TULOT,Opetus- ja kulttuuriministeriön hallinnonala,Valtion osuus veikkauksen ja raha-arpajaisten voittovaroista,541119000
Koko budjetti,SEKALAISET TULOT,Opetus- ja kulttuuriministeriön hallinnonala,Opetus- ja kulttuuriministeriön hallinnonalan muut tulot,4000000
Koko budjetti,SEKALAISET TULOT,Maa- ja metsätalousministeriön hallinnonala,EU:n maataloustukirahastosta saatavat tulot,534003000
Koko budjetti,SEKALAISET TULOT,Maa- ja metsätalousministeriön hallinnonala,Maaseudun kehittämiseen saatavat tulot EU:lta,556000000
Koko budjetti,SEKALAISET TULOT,Maa- ja metsätalousministeriön hallinnonala,Elinkeinokalatalouden kehittämiseen saatavat tulot EU:lta,5000000
Koko budjetti,SEKALAISET TULOT,Maa- ja metsätalousministeriön hallinnonala,EU:lta saatavat muut tulot,2492000
Koko budjetti,SEKALAISET TULOT,Maa- ja metsätalousministeriön hallinnonala,Valtion osuus totopeleistä saadusta tulosta,1080000
