Total budget,Osaston nimi,Tuloluvun nimi,Tulomomentin nimi,total
Koko budjetti,VEROT JA VERONLUONTEISET TULOT,Tulon ja varallisuuden perusteella kannettavat verot,Ansio- ja pääomatuloverot,9712000000
Koko budjetti,VEROT JA VERONLUONTEISET TULOT,Tulon ja varallisuuden perusteella kannettavat verot,Yhteisövero,3213000000
Koko budjetti,VEROT JA VERONLUONTEISET TULOT,Tulon ja varallisuuden perusteella kannettavat verot,Korkotulojen lähdevero,31000000
Koko budjetti,VEROT JA VERONLUONTEISET TULOT,Tulon ja varallisuuden perusteella kannettavat verot,Perintö- ja lahjavero,846000000
Koko budjetti,VEROT JA VERONLUONTEISET TULOT,Liikevaihdon perusteella kannettavat verot ja maksut,Arvonlisävero,20209000000
Koko budjetti,VEROT JA VERONLUONTEISET TULOT,Liikevaihdon perusteella kannettavat verot ja maksut,Eräistä vakuutusmaksuista suoritettava vero,829000000
Koko budjetti,VEROT JA VERONLUONTEISET TULOT,Liikevaihdon perusteella kannettavat verot ja maksut,Apteekkivero,197700000
Koko budjetti,VEROT JA VERONLUONTEISET TULOT,Valmisteverot,Tupakkavero,1132000000
Koko budjetti,VEROT JA VERONLUONTEISET TULOT,Valmisteverot,Alkoholijuomavero,1393000000
Koko budjetti,VEROT JA VERONLUONTEISET TULOT,Valmisteverot,Virvoitusjuomavero,182000000
Koko budjetti,VEROT JA VERONLUONTEISET TULOT,Valmisteverot,Energiaverot,4158000000
Koko budjetti,VEROT JA VERONLUONTEISET TULOT,Valmisteverot,Eräiden juomapakkausten valmistevero,15000000
Koko budjetti,VEROT JA VERONLUONTEISET TULOT,Muut verot,Autovero,795000000
Koko budjetti,VEROT JA VERONLUONTEISET TULOT,Muut verot,Varainsiirtovero,780000000
Koko budjetti,VEROT JA VERONLUONTEISET TULOT,Muut verot,Arpajaisvero,90700000
Koko budjetti,VEROT JA VERONLUONTEISET TULOT,Muut verot,Ajoneuvovero,1143000000
Koko budjetti,VEROT JA VERONLUONTEISET TULOT,Muut verot,Jätevero,8000000
Koko budjetti,VEROT JA VERONLUONTEISET TULOT,Muut veronluonteiset tulot,Eräät viestinnän maksut,43181000
Koko budjetti,VEROT JA VERONLUONTEISET TULOT,Muut veronluonteiset tulot,Eräät liikenteen maksut,24503000
Koko budjetti,VEROT JA VERONLUONTEISET TULOT,Muut veronluonteiset tulot,Väylämaksut,48100000
Koko budjetti,VEROT JA VERONLUONTEISET TULOT,Muut veronluonteiset tulot,Muut verotulot,10455000
Koko budjetti,VEROT JA VERONLUONTEISET TULOT,Muut veronluonteiset tulot,Sähkö- ja maakaasuverkkomaksut ja Perämeren tuulivoima-alueella perittävä tuulivoimamaksu,4040000
Koko budjetti,VEROT JA VERONLUONTEISET TULOT,Muut veronluonteiset tulot,Rahoitusvakausviraston hallintomaksut,3397000
Koko budjetti,VEROT JA VERONLUONTEISET TULOT,Muut veronluonteiset tulot,Säteilytoimintavero,2550000
Koko budjetti,SEKALAISET TULOT,Valtioneuvoston kanslia,Valtioneuvoston kanslian muut tulot,50000
Koko budjetti,SEKALAISET TULOT,Ulkoministeriön hallinnonala,Tiede- ja kulttuuri-instituuttikiinteistöjen vuokratulot,987000
Koko budjetti,SEKALAISET TULOT,Ulkoministeriön hallinnonala,Ulkoministeriön hallinnonalan tulot,20814000
Koko budjetti,SEKALAISET TULOT,Oikeusministeriön hallinnonala,Tuomioistuintulot,44900000
Koko budjetti,SEKALAISET TULOT,Oikeusministeriön hallinnonala,Yleisen edunvalvonnan tulot,29000000
Koko budjetti,SEKALAISET TULOT,Oikeusministeriön hallinnonala,Ulosottomaksut,74000000
Koko budjetti,SEKALAISET TULOT,Oikeusministeriön hallinnonala,Korot ulosoton säilytettävänä olevista varoista,1000
Koko budjetti,SEKALAISET TULOT,Oikeusministeriön hallinnonala,Oikeusministeriön hallinnonalan muut tulot,2750000
Koko budjetti,SEKALAISET TULOT,Sisäministeriön hallinnonala,EU:lta saatavat tulot,28814000
Koko budjetti,SEKALAISET TULOT,Sisäministeriön hallinnonala,Sisäministeriön hallinnonalan muut tulot,1950000
Koko budjetti,SEKALAISET TULOT,Puolustusministeriön hallinnonala,Puolustushallinnon rakennuslaitoksen tulot,0
Koko budjetti,SEKALAISET TULOT,Puolustusministeriön hallinnonala,Tulot irtaimen omaisuuden myynnistä ja rojaltimaksuista,18000
Koko budjetti,SEKALAISET TULOT,Puolustusministeriön hallinnonala,Puolustusministeriön hallinnonalan muut tulot,3013000
Koko budjetti,SEKALAISET TULOT,Valtiovarainministeriön hallinnonala,Kuntien osuudet verotuskustannuksista,131128000
Koko budjetti,SEKALAISET TULOT,Valtiovarainministeriön hallinnonala,Kansaneläkelaitoksen osuus verotuskustannuksista,25234000
Koko budjetti,SEKALAISET TULOT,Valtiovarainministeriön hallinnonala,Evankelisluterilaisten seurakuntien osuudet verotuskustannuksista,14419000
Koko budjetti,SEKALAISET TULOT,Valtiovarainministeriön hallinnonala,Valtion tieto- ja viestintätekniikkakeskuksen eräät tulot,11440000
Koko budjetti,SEKALAISET TULOT,Valtiovarainministeriön hallinnonala,Siirto valtion eläkerahastosta,1944443000
Koko budjetti,SEKALAISET TULOT,Valtiovarainministeriön hallinnonala,Muiden eläkelaitosten puolesta maksettujen eläkemenojen hyvitykset,275546000
Koko budjetti,SEKALAISET TULOT,Valtiovarainministeriön hallinnonala,Vakuutusmaksuja vastaavat maksut,18095000
