Total budget,Osaston nimi,Tuloluvun nimi,Tulomomentin nimi,total
Koko budjetti,SEKALAISET TULOT,Ulkoministeriön hallinnonala,Ulkoministeriön hallinnonalan tulot,37572000
Koko budjetti,SEKALAISET TULOT,Oikeusministeriön hallinnonala,Tuomioistuintulot,45800000
Koko budjetti,SEKALAISET TULOT,Oikeusministeriön hallinnonala,Yleisen edunvalvonnan tulot,26000000
Koko budjetti,SEKALAISET TULOT,Oikeusministeriön hallinnonala,Ulosottomaksut,73000000
Koko budjetti,SEKALAISET TULOT,Oikeusministeriön hallinnonala,Oikeusministeriön hallinnonalan muut tulot,2750000
Koko budjetti,SEKALAISET TULOT,Sisäministeriön hallinnonala,EU:lta saatavat tulot,28340000
Koko budjetti,SEKALAISET TULOT,Sisäministeriön hallinnonala,Sisäministeriön hallinnonalan muut tulot,1950000
Koko budjetti,SEKALAISET TULOT,Puolustusministeriön hallinnonala,Puolustushallinnon rakennuslaitoksen tulot,8000
Koko budjetti,SEKALAISET TULOT,Puolustusministeriön hallinnonala,Tulot irtaimen omaisuuden myynnistä ja rojaltimaksuista,18000
Koko budjetti,SEKALAISET TULOT,Puolustusministeriön hallinnonala,Puolustusministeriön hallinnonalan muut tulot,2600000
Koko budjetti,SEKALAISET TULOT,Valtiovarainministeriön hallinnonala,Kuntien osuudet verotuskustannuksista,125802000
Koko budjetti,SEKALAISET TULOT,Valtiovarainministeriön hallinnonala,Kansaneläkelaitoksen osuus verotuskustannuksista,24209000
Koko budjetti,SEKALAISET TULOT,Valtiovarainministeriön hallinnonala,Evankelisluterilaisten seurakuntien osuudet verotuskustannuksista,13834000
Koko budjetti,SEKALAISET TULOT,Valtiovarainministeriön hallinnonala,Valtion tieto- ja viestintätekniikkakeskuksen eräät tulot,10215000
Koko budjetti,SEKALAISET TULOT,Valtiovarainministeriön hallinnonala,Metallirahatulot,50000
Koko budjetti,SEKALAISET TULOT,Valtiovarainministeriön hallinnonala,Siirto valtion eläkerahastosta,1903821000
Koko budjetti,SEKALAISET TULOT,Valtiovarainministeriön hallinnonala,Muiden eläkelaitosten puolesta maksettujen eläkemenojen hyvitykset,234386000
Koko budjetti,SEKALAISET TULOT,Valtiovarainministeriön hallinnonala,Vakuutusmaksuja vastaavat maksut,16930000
Koko budjetti,SEKALAISET TULOT,Valtiovarainministeriön hallinnonala,Työturvallisuusmaksu,800000
Koko budjetti,SEKALAISET TULOT,Valtiovarainministeriön hallinnonala,Euroopan unionin perinteisten omien varojen kantopalkkiot,36700000
Koko budjetti,SEKALAISET TULOT,Valtiovarainministeriön hallinnonala,Euroopan unionilta saatavat tulot matkamenojen korvaamiseen,1700000
Koko budjetti,SEKALAISET TULOT,Valtiovarainministeriön hallinnonala,Valtiovarainministeriön hallinnonalan muut tulot,14000000
Koko budjetti,SEKALAISET TULOT,Opetus- ja kulttuuriministeriön hallinnonala,Opintotukitoiminnan tulot,18400000
Koko budjetti,SEKALAISET TULOT,Opetus- ja kulttuuriministeriön hallinnonala,Opetus- ja kulttuuriministeriön osuus rahapelitoiminnan tuotoista,563814000
Koko budjetti,SEKALAISET TULOT,Opetus- ja kulttuuriministeriön hallinnonala,Opetus- ja kulttuuriministeriön hallinnonalan muut tulot,4000000
Koko budjetti,SEKALAISET TULOT,Maa- ja metsätalousministeriön hallinnonala,EU:n maataloustukirahastosta saatavat tulot,536733000
Koko budjetti,SEKALAISET TULOT,Maa- ja metsätalousministeriön hallinnonala,Maaseudun kehittämiseen saatavat tulot EU:lta,340000000
Koko budjetti,SEKALAISET TULOT,Maa- ja metsätalousministeriön hallinnonala,Elinkeinokalatalouden kehittämiseen saatavat tulot EU:lta,10000000
Koko budjetti,SEKALAISET TULOT,Maa- ja metsätalousministeriön hallinnonala,EU:lta saatavat muut tulot,558000
Koko budjetti,SEKALAISET TULOT,Maa- ja metsätalousministeriön hallinnonala,Maa- ja metsätalousministeriön osuus rahapelitoiminnan tuotosta,40500000
Koko budjetti,SEKALAISET TULOT,Maa- ja metsätalousministeriön hallinnonala,Vesioikeudelliset kalatalousmaksut,3100000
Koko budjetti,SEKALAISET TULOT,Maa- ja metsätalousministeriön hallinnonala,Tenojoen kalastuslupamaksut,500000
Koko budjetti,SEKALAISET TULOT,Maa- ja metsätalousministeriön hallinnonala,Hirvieläinten metsästysmaksut,5375000
Koko budjetti,SEKALAISET TULOT,Maa- ja metsätalousministeriön hallinnonala,Kalastonhoitomaksut,9386000
Koko budjetti,SEKALAISET TULOT,Maa- ja metsätalousministeriön hallinnonala,Riistanhoitomaksut,11751000
Koko budjetti,SEKALAISET TULOT,Maa- ja metsätalousministeriön hallinnonala,Maa- ja metsätalousministeriön hallinnonalan muut tulot,4800000
Koko budjetti,SEKALAISET TULOT,Liikenne- ja viestintäministeriön hallinnonala,Väyläviraston tulot,2500000
Koko budjetti,SEKALAISET TULOT,Liikenne- ja viestintäministeriön hallinnonala,Liikenne- ja viestintäministeriön hallinnonalan muut tulot,850000
Koko budjetti,SEKALAISET TULOT,Työ- ja elinkeinoministeriön hallinnonala,Turvallisuus- ja kemikaaliviraston tulot,2850000
Koko budjetti,SEKALAISET TULOT,Työ- ja elinkeinoministeriön hallinnonala,Siirrot valtion talousarvion ulkopuolisista rahastoista,21600000
Koko budjetti,SEKALAISET TULOT,Työ- ja elinkeinoministeriön hallinnonala,Palkkaturvamaksujen palautukset,31810000
Koko budjetti,SEKALAISET TULOT,Työ- ja elinkeinoministeriön hallinnonala,EU:n rakennerahastoista ja muista koheesiopolitiikan rahastoista saatavat tulot,200000000
Koko budjetti,SEKALAISET TULOT,Työ- ja elinkeinoministeriön hallinnonala,Työ- ja elinkeinoministeriön hallinnonalan muut tulot,214700000
Koko budjetti,SEKALAISET TULOT,Sosiaali- ja terveysministeriön hallinnonala,Sosiaali- ja terveysalan lupa- ja valvontaviraston tulot,1600000
Koko budjetti,SEKALAISET TULOT,Sosiaali- ja terveysministeriön hallinnonala,Terveyden ja hyvinvoinnin laitoksen tulot,300000
Koko budjetti,SEKALAISET TULOT,Sosiaali- ja terveysministeriön hallinnonala,Sosiaali- ja terveysministeriön osuus rahapelitoiminnan tuotosta,494650000
Koko budjetti,SEKALAISET TULOT,Sosiaali- ja terveysministeriön hallinnonala,Valtionapujen palautukset,101200000
Koko budjetti,SEKALAISET TULOT,Sosiaali- ja terveysministeriön hallinnonala,Sosiaali- ja terveysministeriön hallinnonalan muut tulot,925000
Koko budjetti,SEKALAISET TULOT,Ympäristöministeriön hallinnonala,Korvaukset ympäristövahinkojen torjuntatoimista,1650000
Koko budjetti,SEKALAISET TULOT,Ympäristöministeriön hallinnonala,Siirto valtion asuntorahastosta,5250000
Koko budjetti,SEKALAISET TULOT,Ympäristöministeriön hallinnonala,Ympäristöministeriön hallinnonalan muut tulot,1000000
Koko budjetti,SEKALAISET TULOT,Muut sekalaiset tulot,Sakkotulot ja tulot hallinnollisista maksuseuraamuksista,173200000
Koko budjetti,SEKALAISET TULOT,Muut sekalaiset tulot,Verotukseen liittyvät korkotulot,84000000
Koko budjetti,SEKALAISET TULOT,Muut sekalaiset tulot,Siirrettyjen määrärahojen peruutukset,250000000
Koko budjetti,SEKALAISET TULOT,Muut sekalaiset tulot,Muut sekalaiset tulot,7000000
Koko budjetti,KORKOTULOT OSAKKEIDEN MYYNTITULOT JA VOITON TULOUTUKSET,Korkotulot,Korot valtion lainoista liikelaitoksille,5400000
Koko budjetti,KORKOTULOT OSAKKEIDEN MYYNTITULOT JA VOITON TULOUTUKSET,Korkotulot,Korot muista lainoista,17657000
Koko budjetti,KORKOTULOT OSAKKEIDEN MYYNTITULOT JA VOITON TULOUTUKSET,Korkotulot,Korot talletuksista,1400000
Koko budjetti,KORKOTULOT OSAKKEIDEN MYYNTITULOT JA VOITON TULOUTUKSET,Korkotulot,Muiden eläkelaitosten puolesta maksettujen eläkemenojen ja valtion muille eläkelaitoksille maksamien ennakoiden korkotulot,19386000
Koko budjetti,KORKOTULOT OSAKKEIDEN MYYNTITULOT JA VOITON TULOUTUKSET,Osinkotulot ja osakkeiden myyntitulot,Osinkotulot pääomanpalautukset ja osakkeiden myyntitulot,1933000000
Koko budjetti,KORKOTULOT OSAKKEIDEN MYYNTITULOT JA VOITON TULOUTUKSET,Osuus valtion rahalaitosten voitosta,Osuus Suomen Pankin voitosta,100000000
Koko budjetti,KORKOTULOT OSAKKEIDEN MYYNTITULOT JA VOITON TULOUTUKSET,Valtion liikelaitosten voiton tuloutukset,Valtion liikelaitosten voiton tuloutukset,136524000
Koko budjetti,LAINAT,Valtiolle takaisin maksettavat lainat,Takaisinmaksut valtion lainoista liikelaitoksille,19500000
Koko budjetti,LAINAT,Valtiolle takaisin maksettavat lainat,Muiden lainojen lyhennykset,45614000
Koko budjetti,LAINAT,Valtion nettolainanotto ja velanhallinta,Nettolainanotto ja velanhallinta,1655024000
