Total budget,Osaston nimi,Tuloluvun nimi,Tulomomentin nimi,total
Koko budjetti,VEROT JA VERONLUONTEISET TULOT,Tulon ja varallisuuden perusteella kannettavat verot,Ansio- ja pääomatuloverot,8676000000
Koko budjetti,VEROT JA VERONLUONTEISET TULOT,Tulon ja varallisuuden perusteella kannettavat verot,Yhteisövero,2477000000
Koko budjetti,VEROT JA VERONLUONTEISET TULOT,Tulon ja varallisuuden perusteella kannettavat verot,Korkotulojen lähdevero,159000000
Koko budjetti,VEROT JA VERONLUONTEISET TULOT,Tulon ja varallisuuden perusteella kannettavat verot,Perintö- ja lahjavero,630000000
Koko budjetti,VEROT JA VERONLUONTEISET TULOT,Tulon ja varallisuuden perusteella kannettavat verot,Pankkivero,133000000
Koko budjetti,VEROT JA VERONLUONTEISET TULOT,Tulon ja varallisuuden perusteella kannettavat verot,Voimalaitosvero,50000000
Koko budjetti,VEROT JA VERONLUONTEISET TULOT,Liikevaihdon perusteella kannettavat verot ja maksut,Arvonlisävero,17030000000
Koko budjetti,VEROT JA VERONLUONTEISET TULOT,Liikevaihdon perusteella kannettavat verot ja maksut,Eräistä vakuutusmaksuista suoritettava vero,706000000
Koko budjetti,VEROT JA VERONLUONTEISET TULOT,Liikevaihdon perusteella kannettavat verot ja maksut,Apteekkimaksut,143500000
Koko budjetti,VEROT JA VERONLUONTEISET TULOT,Valmisteverot,Tupakkavero,811000000
Koko budjetti,VEROT JA VERONLUONTEISET TULOT,Valmisteverot,Alkoholijuomavero,1442000000
Koko budjetti,VEROT JA VERONLUONTEISET TULOT,Valmisteverot,Makeisten jäätelön ja virvoitusjuomien valmistevero,250000000
Koko budjetti,VEROT JA VERONLUONTEISET TULOT,Valmisteverot,Energiaverot,4400000000
Koko budjetti,VEROT JA VERONLUONTEISET TULOT,Valmisteverot,Eräiden juomapakkausten valmistevero,15000000
Koko budjetti,VEROT JA VERONLUONTEISET TULOT,Muut verot,Autovero,997000000
Koko budjetti,VEROT JA VERONLUONTEISET TULOT,Muut verot,Varainsiirtovero,581000000
Koko budjetti,VEROT JA VERONLUONTEISET TULOT,Muut verot,Arpajaisvero,235000000
Koko budjetti,VEROT JA VERONLUONTEISET TULOT,Muut verot,Ajoneuvovero,832000000
Koko budjetti,VEROT JA VERONLUONTEISET TULOT,Muut verot,Jätevero,70000000
Koko budjetti,VEROT JA VERONLUONTEISET TULOT,Muut veronluonteiset tulot,Lästimaksut,800000
Koko budjetti,VEROT JA VERONLUONTEISET TULOT,Muut veronluonteiset tulot,Ratavero,18000000
Koko budjetti,VEROT JA VERONLUONTEISET TULOT,Muut veronluonteiset tulot,Eräät viestinnän maksut,26822000
Koko budjetti,VEROT JA VERONLUONTEISET TULOT,Muut veronluonteiset tulot,Lentoliikenteen valvontamaksu,11100000
Koko budjetti,VEROT JA VERONLUONTEISET TULOT,Muut veronluonteiset tulot,Väylämaksut,83010000
Koko budjetti,VEROT JA VERONLUONTEISET TULOT,Muut veronluonteiset tulot,Katsastustoiminnan valvontamaksu,4785000
Koko budjetti,VEROT JA VERONLUONTEISET TULOT,Muut veronluonteiset tulot,Öljyjätemaksu,4000000
Koko budjetti,VEROT JA VERONLUONTEISET TULOT,Muut veronluonteiset tulot,Muut verotulot,3500000
Koko budjetti,VEROT JA VERONLUONTEISET TULOT,Muut veronluonteiset tulot,Energiaviraston valvontamaksu,3031000
Koko budjetti,SEKALAISET TULOT,Ulkoasiainministeriön hallinnonala,Ulkoasiainministeriön hallinnonalan tulot,17260000
Koko budjetti,SEKALAISET TULOT,Oikeusministeriön hallinnonala,Tuomioistuintulot,27010000
Koko budjetti,SEKALAISET TULOT,Oikeusministeriön hallinnonala,Ulosottomaksut,69000000
Koko budjetti,SEKALAISET TULOT,Oikeusministeriön hallinnonala,Oikeusministeriön hallinnonalan muut tulot,150000
Koko budjetti,SEKALAISET TULOT,Sisäasiainministeriön hallinnonala,EU:lta saatavat tulot yhteisvastuun ja maahanmuuttovirtojen hallintaan,18149000
Koko budjetti,SEKALAISET TULOT,Sisäasiainministeriön hallinnonala,Sisäasiainministeriön hallinnonalan muut tulot,450000
Koko budjetti,SEKALAISET TULOT,Puolustusministeriön hallinnonala,Puolustushallinnon rakennuslaitoksen tulot,8000
Koko budjetti,SEKALAISET TULOT,Puolustusministeriön hallinnonala,Tulot irtaimen omaisuuden myynnistä ja rojaltimaksuista,18000
Koko budjetti,SEKALAISET TULOT,Puolustusministeriön hallinnonala,Puolustusministeriön hallinnonalan muut tulot,4200000
Koko budjetti,SEKALAISET TULOT,Valtiovarainministeriön hallinnonala,Tullin tulot,4162000
Koko budjetti,SEKALAISET TULOT,Valtiovarainministeriön hallinnonala,Kuntien osuudet verotuskustannuksista,144836000
Koko budjetti,SEKALAISET TULOT,Valtiovarainministeriön hallinnonala,Kansaneläkelaitoksen osuus verotuskustannuksista,27744000
Koko budjetti,SEKALAISET TULOT,Valtiovarainministeriön hallinnonala,Evankelisluterilaisten seurakuntien osuudet verotuskustannuksista,22101000
Koko budjetti,SEKALAISET TULOT,Valtiovarainministeriön hallinnonala,Valtion yhteisten perustietotekniikka- ja tietojärjestelmäpalvelujen palvelukeskuksen eräät tulot,1100000
Koko budjetti,SEKALAISET TULOT,Valtiovarainministeriön hallinnonala,Metallirahatulot,25000000
Koko budjetti,SEKALAISET TULOT,Valtiovarainministeriön hallinnonala,Siirto valtion eläkerahastosta,1732000000
Koko budjetti,SEKALAISET TULOT,Valtiovarainministeriön hallinnonala,Muiden eläkelaitosten puolesta maksettujen eläkemenojen hyvitykset,152418000
Koko budjetti,SEKALAISET TULOT,Valtiovarainministeriön hallinnonala,Vakuutusmaksut,20410000
Koko budjetti,SEKALAISET TULOT,Valtiovarainministeriön hallinnonala,Työturvallisuusmaksu,900000
Koko budjetti,SEKALAISET TULOT,Valtiovarainministeriön hallinnonala,Euroopan unionin perinteisten omien varojen kantopalkkiot,52000000
Koko budjetti,SEKALAISET TULOT,Valtiovarainministeriön hallinnonala,Euroopan unionilta saatavat tulot matkamenojen korvaamiseen,2500000
Koko budjetti,SEKALAISET TULOT,Valtiovarainministeriön hallinnonala,Valtiovarainministeriön hallinnonalan muut tulot,18120000
Koko budjetti,SEKALAISET TULOT,Opetus- ja kulttuuriministeriön hallinnonala,Opintotukitoiminnan tulot,20300000
Koko budjetti,SEKALAISET TULOT,Opetus- ja kulttuuriministeriön hallinnonala,Valtion osuus veikkauksen ja raha-arpajaisten voittovaroista,540811000
Koko budjetti,SEKALAISET TULOT,Opetus- ja kulttuuriministeriön hallinnonala,Opetus- ja kulttuuriministeriön hallinnonalan muut tulot,4000000
Koko budjetti,SEKALAISET TULOT,Maa- ja metsätalousministeriön hallinnonala,EU:n maataloustukirahastosta saatavat tulot,535888000
Koko budjetti,SEKALAISET TULOT,Maa- ja metsätalousministeriön hallinnonala,Maaseudun kehittämiseen saatavat tulot EU:lta,45000000
Koko budjetti,SEKALAISET TULOT,Maa- ja metsätalousministeriön hallinnonala,Elinkeinokalatalouden kehittämiseen saatavat tulot EU:lta,4000000
Koko budjetti,SEKALAISET TULOT,Maa- ja metsätalousministeriön hallinnonala,EU:lta saatavat muut tulot,475000
Koko budjetti,SEKALAISET TULOT,Maa- ja metsätalousministeriön hallinnonala,Valtion osuus totopeleistä saadusta tulosta,1120000
Koko budjetti,SEKALAISET TULOT,Maa- ja metsätalousministeriön hallinnonala,Kasvinjalostusmaksut,380000
Koko budjetti,SEKALAISET TULOT,Maa- ja metsätalousministeriön hallinnonala,Vesioikeudelliset kalatalousmaksut,2500000
Koko budjetti,SEKALAISET TULOT,Maa- ja metsätalousministeriön hallinnonala,Tenojoen kalastuslupamaksut,500000
Koko budjetti,SEKALAISET TULOT,Maa- ja metsätalousministeriön hallinnonala,Hirvieläinten metsästysmaksut,3400000
Koko budjetti,SEKALAISET TULOT,Maa- ja metsätalousministeriön hallinnonala,Viehekalastusmaksut,3198000
Koko budjetti,SEKALAISET TULOT,Maa- ja metsätalousministeriön hallinnonala,Kalastuksenhoitomaksut,6264000
Koko budjetti,SEKALAISET TULOT,Maa- ja metsätalousministeriön hallinnonala,Riistanhoitomaksut,10240000
Koko budjetti,SEKALAISET TULOT,Maa- ja metsätalousministeriön hallinnonala,Maa- ja metsätalousministeriön hallinnonalan muut tulot,6000000
Koko budjetti,SEKALAISET TULOT,Liikenne- ja viestintäministeriön hallinnonala,Liikenneviraston tulot,17716000
Koko budjetti,SEKALAISET TULOT,Liikenne- ja viestintäministeriön hallinnonala,Liikenne- ja viestintäministeriön hallinnonalan muut tulot,50000
Koko budjetti,SEKALAISET TULOT,Työ- ja elinkeinoministeriön hallinnonala,Turvallisuus- ja kemikaaliviraston tulot,2700000
Koko budjetti,SEKALAISET TULOT,Työ- ja elinkeinoministeriön hallinnonala,Rahoitusosuus työ- ja elinkeinoministeriön sekä elinkeino- liikenne- ja ympäristökeskusten pk-yritysten osaamisen kehittämispalveluista,0
Koko budjetti,SEKALAISET TULOT,Työ- ja elinkeinoministeriön hallinnonala,Palkkaturvamaksujen palautukset,36327000
Koko budjetti,SEKALAISET TULOT,Työ- ja elinkeinoministeriön hallinnonala,Euroopan aluekehitysrahastosta ja Euroopan sosiaalirahastosta saatavat tulot,247000000
Koko budjetti,SEKALAISET TULOT,Työ- ja elinkeinoministeriön hallinnonala,Työ- ja elinkeinoministeriön hallinnonalan muut tulot,70900000
Koko budjetti,SEKALAISET TULOT,Sosiaali- ja terveysministeriön hallinnonala,Sosiaali- ja terveysalan lupa- ja valvontaviraston tulot,1460000
Koko budjetti,SEKALAISET TULOT,Sosiaali- ja terveysministeriön hallinnonala,Terveyden ja hyvinvoinnin laitoksen tulot,500000
Koko budjetti,SEKALAISET TULOT,Sosiaali- ja terveysministeriön hallinnonala,Raha-automaattiyhdistyksen tuotto,421695000
