Total budget,Pääluokan nimi,Menoluvun nimi,Menomomentin nimi,total
Koko budjetti,OIKEUSMINISTERIÖN HALLINNONALA,Ministeriö ja hallinto,Erityismenot,10865000
Koko budjetti,OIKEUSMINISTERIÖN HALLINNONALA,Ministeriö ja hallinto,Oikeusministeriön hallinnonalan tuottavuusmääräraha,251000
Koko budjetti,OIKEUSMINISTERIÖN HALLINNONALA,Ministeriö ja hallinto,Oikeusministeriön hallinnonalan arvonlisäveromenot,60000000
Koko budjetti,OIKEUSMINISTERIÖN HALLINNONALA,Ministeriö ja hallinto,Avustukset,4218000
Koko budjetti,OIKEUSMINISTERIÖN HALLINNONALA,Ministeriö ja hallinto,Eräät valtion maksamat korvaukset,18000000
Koko budjetti,OIKEUSMINISTERIÖN HALLINNONALA,Tuomioistuimet ja oikeusapu,Korkeimman oikeuden toimintamenot,8999000
Koko budjetti,OIKEUSMINISTERIÖN HALLINNONALA,Tuomioistuimet ja oikeusapu,Korkeimman hallinto-oikeuden toimintamenot,10970000
Koko budjetti,OIKEUSMINISTERIÖN HALLINNONALA,Tuomioistuimet ja oikeusapu,Muiden tuomioistuinten toimintamenot,259182000
Koko budjetti,OIKEUSMINISTERIÖN HALLINNONALA,Tuomioistuimet ja oikeusapu,Oikeusaputoimistojen ja kuluttajariitalautakunnan toimintamenot,29371000
Koko budjetti,OIKEUSMINISTERIÖN HALLINNONALA,Tuomioistuimet ja oikeusapu,Yleisen edunvalvonnan toimintamenot,12411000
Koko budjetti,OIKEUSMINISTERIÖN HALLINNONALA,Tuomioistuimet ja oikeusapu,Yksityisille oikeusavustajille maksettavat korvaukset,45150000
Koko budjetti,OIKEUSMINISTERIÖN HALLINNONALA,Maksuhäiriöt ulosotto ja konkurssivalvonta,Ulosottolaitoksen ja konkurssivalvonnan toimintamenot,105377000
Koko budjetti,OIKEUSMINISTERIÖN HALLINNONALA,Syyttäjät,Syyttäjälaitoksen toimintamenot,45923000
Koko budjetti,OIKEUSMINISTERIÖN HALLINNONALA,Rangaistusten täytäntöönpano,Rikosseuraamuslaitoksen toimintamenot,229206000
Koko budjetti,OIKEUSMINISTERIÖN HALLINNONALA,Rangaistusten täytäntöönpano,Avolaitostyöt,5400000
Koko budjetti,OIKEUSMINISTERIÖN HALLINNONALA,Vaalimenot,Vaalimenot,17249000
Koko budjetti,SISÄASIAINMINISTERIÖN HALLINNONALA,Hallinto,Sisäasiainministeriön toimintamenot,21774000
Koko budjetti,SISÄASIAINMINISTERIÖN HALLINNONALA,Hallinto,Hallinnon tietotekniikkakeskuksen toimintamenot,21000
Koko budjetti,SISÄASIAINMINISTERIÖN HALLINNONALA,Hallinto,Vähemmistövaltuutetun ja syrjintälautakunnan toimintamenot,1012000
Koko budjetti,SISÄASIAINMINISTERIÖN HALLINNONALA,Hallinto,Tietohallinnon yhteiset menot,12890000
Koko budjetti,SISÄASIAINMINISTERIÖN HALLINNONALA,Hallinto,EU:n osuus yhteisvastuun ja maahanmuuttovirtojen hallintaan,21500000
Koko budjetti,SISÄASIAINMINISTERIÖN HALLINNONALA,Hallinto,Siviilikriisinhallinnan kotimaan valmiudet,1439000
Koko budjetti,SISÄASIAINMINISTERIÖN HALLINNONALA,Hallinto,EU:n osuus sisäisen turvallisuuden ja maahanmuuton hallintaan,10480000
Koko budjetti,SISÄASIAINMINISTERIÖN HALLINNONALA,Hallinto,Sisäasiainministeriön hallinnonalan arvonlisäveromenot,66240000
Koko budjetti,SISÄASIAINMINISTERIÖN HALLINNONALA,Hallinto,Kansainvälisten järjestöjen jäsenmaksut ja maksuosuudet ulkomaille,1017000
Koko budjetti,SISÄASIAINMINISTERIÖN HALLINNONALA,Poliisitoimi,Poliisitoimen toimintamenot,729035000
Koko budjetti,SISÄASIAINMINISTERIÖN HALLINNONALA,Poliisitoimi,Maasta poistamis- ja noutokuljetuksista aiheutuvat menot,3500000
Koko budjetti,SISÄASIAINMINISTERIÖN HALLINNONALA,Poliisitoimi,KEJO-hankkeen yhteiset toimintamenot,7000000
Koko budjetti,SISÄASIAINMINISTERIÖN HALLINNONALA,Rajavartiolaitos,Rajavartiolaitoksen toimintamenot,229939000
Koko budjetti,SISÄASIAINMINISTERIÖN HALLINNONALA,Rajavartiolaitos,Ilma- ja vartioalusten hankinta,0
Koko budjetti,SISÄASIAINMINISTERIÖN HALLINNONALA,Pelastustoimi ja hätäkeskustoiminta,Pelastustoimen toimintamenot,16362000
Koko budjetti,SISÄASIAINMINISTERIÖN HALLINNONALA,Pelastustoimi ja hätäkeskustoiminta,Hätäkeskuslaitoksen toimintamenot,65326000
Koko budjetti,SISÄASIAINMINISTERIÖN HALLINNONALA,Pelastustoimi ja hätäkeskustoiminta,Erityismenot,3406000
Koko budjetti,SISÄASIAINMINISTERIÖN HALLINNONALA,Pelastustoimi ja hätäkeskustoiminta,Turvallisuusviranomaisten viestintäverkot,8100000
Koko budjetti,SISÄASIAINMINISTERIÖN HALLINNONALA,Maahanmuutto,Maahanmuuttoviraston ja valtion vastaanottokeskusten toimintamenot,26609000
Koko budjetti,SISÄASIAINMINISTERIÖN HALLINNONALA,Maahanmuutto,Paluumuuttajien muuttovalmennus,876000
Koko budjetti,SISÄASIAINMINISTERIÖN HALLINNONALA,Maahanmuutto,Pakolaisten ja turvapaikanhakijoiden vastaanotto,30657000
Koko budjetti,SISÄASIAINMINISTERIÖN HALLINNONALA,Maahanmuutto,Vastaanottotoiminnan asiakkaille maksettavat tuet,10017000
Koko budjetti,PUOLUSTUSMINISTERIÖN HALLINNONALA,Puolustuspolitiikka ja hallinto,Puolustusministeriön toimintamenot,20183000
Koko budjetti,PUOLUSTUSMINISTERIÖN HALLINNONALA,Puolustuspolitiikka ja hallinto,Puolustusministeriön hallinnonalan tuottavuusmääräraha,2315000
Koko budjetti,PUOLUSTUSMINISTERIÖN HALLINNONALA,Puolustuspolitiikka ja hallinto,Puolustusministeriön hallinnonalan arvonlisäveromenot,337676000
Koko budjetti,PUOLUSTUSMINISTERIÖN HALLINNONALA,Puolustuspolitiikka ja hallinto,Avustus Leijona Catering Oy:lle,0
Koko budjetti,PUOLUSTUSMINISTERIÖN HALLINNONALA,Sotilaallinen maanpuolustus,Puolustusvoimien toimintamenot,1857426000
Koko budjetti,PUOLUSTUSMINISTERIÖN HALLINNONALA,Sotilaallinen maanpuolustus,Puolustusmateriaalihankinnat,470357000
Koko budjetti,PUOLUSTUSMINISTERIÖN HALLINNONALA,Sotilaallinen maanpuolustus,Maanpuolustusjärjestöjen toiminnan tukeminen,2078000
Koko budjetti,PUOLUSTUSMINISTERIÖN HALLINNONALA,Sotilaallinen kriisinhallinta,Sotilaallisen kriisinhallinnan kalusto- ja hallintomenot,60066000
Koko budjetti,PUOLUSTUSMINISTERIÖN HALLINNONALA,Sotilaallinen kriisinhallinta,Kurssivaihtelut,10000
Koko budjetti,VALTIOVARAINMINISTERIÖN HALLINNONALA,Hallinto,Valtiovarainministeriön toimintamenot,39971000
Koko budjetti,VALTIOVARAINMINISTERIÖN HALLINNONALA,Hallinto,Julkisen hallinnon yhteisten tietojärjestelmien ja -palvelujen käyttöönottojen tuki,3031000
Koko budjetti,VALTIOVARAINMINISTERIÖN HALLINNONALA,Hallinto,Valtion kiinteistöstrategian toteuttaminen ja hallinnonalan omistajaohjaus,415000
Koko budjetti,VALTIOVARAINMINISTERIÖN HALLINNONALA,Hallinto,Valtiovarainministeriön hallinnonalan tuottavuusmääräraha,30000
Koko budjetti,VALTIOVARAINMINISTERIÖN HALLINNONALA,Hallinto,Valtiovarainministeriön hallinnonalan arvonlisäveromenot,79144000
Koko budjetti,VALTIOVARAINMINISTERIÖN HALLINNONALA,Hallinto,Suomen Pankin eräiden sijoitustuottojen siirto Kreikan valtiolle,35000000
Koko budjetti,VALTIOVARAINMINISTERIÖN HALLINNONALA,Hallinto,Suomen Erillisverkot Oy:n pääomittaminen,5000000
Koko budjetti,VALTIOVARAINMINISTERIÖN HALLINNONALA,Verotus ja tullitoimi,Verohallinnon toimintamenot,431903000
Koko budjetti,VALTIOVARAINMINISTERIÖN HALLINNONALA,Verotus ja tullitoimi,Tullin toimintamenot,166359000
Koko budjetti,VALTIOVARAINMINISTERIÖN HALLINNONALA,Verotus ja tullitoimi,Takaisin maksetut verot,3200000
Koko budjetti,VALTIOVARAINMINISTERIÖN HALLINNONALA,Verotus ja tullitoimi,Verotukseen liittyvät korkomenot,22700000
Koko budjetti,VALTIOVARAINMINISTERIÖN HALLINNONALA,Verotus ja tullitoimi,Autoveron vientipalautus,3000000
Koko budjetti,VALTIOVARAINMINISTERIÖN HALLINNONALA,Palvelut valtioyhteisölle,Valtiokonttorin toimintamenot,30617000
Koko budjetti,VALTIOVARAINMINISTERIÖN HALLINNONALA,Palvelut valtioyhteisölle,Keskitettyjen valuuttatilien kurssierot,1000
Koko budjetti,VALTIOVARAINMINISTERIÖN HALLINNONALA,Palvelut valtioyhteisölle,Valtiovarain controller -toiminnon toimintamenot,891000
Koko budjetti,VALTIOVARAINMINISTERIÖN HALLINNONALA,Palvelut valtioyhteisölle,Sähköisen asioinnin ja hallinnon yhteiset palvelut,2454000
Koko budjetti,VALTIOVARAINMINISTERIÖN HALLINNONALA,Palvelut valtioyhteisölle,Valtion talous- ja henkilöstöhallinnon palvelukeskuksen toimintamenot,2000000
Koko budjetti,VALTIOVARAINMINISTERIÖN HALLINNONALA,Palvelut valtioyhteisölle,Valtion talous- ja henkilöstöhallinnon palvelukeskuksen kehittäminen,2228000
Koko budjetti,VALTIOVARAINMINISTERIÖN HALLINNONALA,Palvelut valtioyhteisölle,Valtion yhteisten perustietotekniikka- ja tietojärjestelmäpalvelujen palvelukeskuksen toimintamenot,4000000
Koko budjetti,VALTIOVARAINMINISTERIÖN HALLINNONALA,Palvelut valtioyhteisölle,Valtion yhteisten perustietotekniikka- ja tietojärjestelmäpalvelujen palvelukeskuksen investointimenot,6000000
Koko budjetti,VALTIOVARAINMINISTERIÖN HALLINNONALA,Palvelut valtioyhteisölle,Senaatti-kiinteistöt,0
Koko budjetti,VALTIOVARAINMINISTERIÖN HALLINNONALA,Tilastotoimi taloudellinen tutkimus ja rekisterihallinto,Tilastokeskuksen toimintamenot,51454000
Koko budjetti,VALTIOVARAINMINISTERIÖN HALLINNONALA,Tilastotoimi taloudellinen tutkimus ja rekisterihallinto,Valtion taloudellisen tutkimuskeskuksen toimintamenot,4191000
Koko budjetti,VALTIOVARAINMINISTERIÖN HALLINNONALA,Tilastotoimi taloudellinen tutkimus ja rekisterihallinto,Väestörekisterikeskuksen toimintamenot,9816000
Koko budjetti,VALTIOVARAINMINISTERIÖN HALLINNONALA,Valtion alue- ja paikallishallinto,Aluehallintoviraston toimintamenot,57878000
Koko budjetti,VALTIOVARAINMINISTERIÖN HALLINNONALA,Valtion alue- ja paikallishallinto,Maistraattien toimintamenot,32181000
Koko budjetti,VALTIOVARAINMINISTERIÖN HALLINNONALA,Valtion alue- ja paikallishallinto,Alue- ja paikallishallinnon tukitoimet,224000
Koko budjetti,VALTIOVARAINMINISTERIÖN HALLINNONALA,Eläkkeet ja korvaukset,Eläkkeet,4342620000
Koko budjetti,VALTIOVARAINMINISTERIÖN HALLINNONALA,Eläkkeet ja korvaukset,Ylimääräiset eläkkeet,2200000
Koko budjetti,VALTIOVARAINMINISTERIÖN HALLINNONALA,Eläkkeet ja korvaukset,Muut eläkemenot,2798000
Koko budjetti,VALTIOVARAINMINISTERIÖN HALLINNONALA,Eläkkeet ja korvaukset,Vahingonkorvaukset,39185000
Koko budjetti,VALTIOVARAINMINISTERIÖN HALLINNONALA,Eläkkeet ja korvaukset,Muiden eläkelaitosten vastattavaksi kuuluvat eläkemenot,152418000
Koko budjetti,VALTIOVARAINMINISTERIÖN HALLINNONALA,Eläkkeet ja korvaukset,Muiden eläkelaitosten valtion puolesta maksamien eläkemenojen ja valtiolle maksamien ennakoiden korkomenot,24800000
Koko budjetti,VALTIOVARAINMINISTERIÖN HALLINNONALA,Valtionhallinnon yhteiset henkilöstömenot,Erikseen budjetoidut palkkamenot,50000
Koko budjetti,VALTIOVARAINMINISTERIÖN HALLINNONALA,Valtionhallinnon yhteiset henkilöstömenot,Valtion henkilöstöjärjestelyistä aiheutuvat palkkamenot,40000
Koko budjetti,VALTIOVARAINMINISTERIÖN HALLINNONALA,Valtionhallinnon yhteiset henkilöstömenot,Työturvallisuuden edistäminen,900000
Koko budjetti,VALTIOVARAINMINISTERIÖN HALLINNONALA,Valtionhallinnon yhteiset henkilöstömenot,Osaamisen kehittäminen,12328000
Koko budjetti,VALTIOVARAINMINISTERIÖN HALLINNONALA,Valtionhallinnon yhteiset henkilöstömenot,Siirto Koulutusrahastolle,230000
Koko budjetti,VALTIOVARAINMINISTERIÖN HALLINNONALA,Valtionhallinnon kehittäminen,Valtion ICT:n ohjaus ja kehittäminen,11613000
Koko budjetti,VALTIOVARAINMINISTERIÖN HALLINNONALA,Valtionhallinnon kehittäminen,Valtion talous- henkilöstö- ja toimitilahallinnon tietojärjestelmät,8652000
Koko budjetti,VALTIOVARAINMINISTERIÖN HALLINNONALA,Valtionhallinnon kehittäminen,Kansallisen tietoalan ohjaus ja kehittäminen,13000000
Koko budjetti,VALTIOVARAINMINISTERIÖN HALLINNONALA,Valtionhallinnon kehittäminen,Yhteiskunnan elintärkeiden toimintojen tietojärjestelmien tietoturvallisuus ja varautuminen,1700000
Koko budjetti,VALTIOVARAINMINISTERIÖN HALLINNONALA,Valtionhallinnon kehittäminen,Tuottavuuden edistäminen,20005000
Koko budjetti,VALTIOVARAINMINISTERIÖN HALLINNONALA,Siirrot Ahvenanmaan maakunnalle,Ahvenanmaan tasoitusmaksu,211206000
Koko budjetti,VALTIOVARAINMINISTERIÖN HALLINNONALA,Siirrot Ahvenanmaan maakunnalle,Verohyvitys Ahvenanmaan maakunnalle,25000000
Koko budjetti,VALTIOVARAINMINISTERIÖN HALLINNONALA,Siirrot Ahvenanmaan maakunnalle,Arpajaisveron tuoton palauttaminen Ahvenanmaan maakunnalle,13000000
Koko budjetti,VALTIOVARAINMINISTERIÖN HALLINNONALA,Kuntien tukeminen,Valtion ja kuntien yhteiset tietojärjestelmähankkeet,16995000
Koko budjetti,VALTIOVARAINMINISTERIÖN HALLINNONALA,Kuntien tukeminen,Kunta- ja palvelurakennemuutosten toteuttaminen,600000
Koko budjetti,VALTIOVARAINMINISTERIÖN HALLINNONALA,Kuntien tukeminen,Valtionosuus kunnille peruspalvelujen järjestämiseen,8612665000
Koko budjetti,VALTIOVARAINMINISTERIÖN HALLINNONALA,Kuntien tukeminen,Kuntien yhdistymisen taloudellinen tuki,35028000
Koko budjetti,VALTIOVARAINMINISTERIÖN HALLINNONALA,Kuntien tukeminen,Paikallisten kuntakokeilujen rahoitus,520000
Koko budjetti,VALTIOVARAINMINISTERIÖN HALLINNONALA,Työllisyyden ja elinkeinoelämän tukeminen,Energiaverotuki,302020000
Koko budjetti,VALTIOVARAINMINISTERIÖN HALLINNONALA,EU ja kansainväliset järjestöt,Euroopan unionin osallistuminen matkamenojen korvauksiin,2500000
Koko budjetti,VALTIOVARAINMINISTERIÖN HALLINNONALA,EU ja kansainväliset järjestöt,Isäntämaakorvaus Pohjoismaiden Investointipankille,9140000
Koko budjetti,VALTIOVARAINMINISTERIÖN HALLINNONALA,EU ja kansainväliset järjestöt,Kansainvälisille rahoituslaitoksille annettujen sitoumusten lunastaminen,170000
Koko budjetti,VALTIOVARAINMINISTERIÖN HALLINNONALA,EU ja kansainväliset järjestöt,Suomen osuus Kansainvälisen jälleenrakennus- ja kehityspankin peruspääoman korottamisesta,3340000
Koko budjetti,VALTIOVARAINMINISTERIÖN HALLINNONALA,EU ja kansainväliset järjestöt,Maksut Euroopan unionille,2015000000
Koko budjetti,VALTIOVARAINMINISTERIÖN HALLINNONALA,EU ja kansainväliset järjestöt,Suomen osuus Euroopan investointipankin peruspääoman korottamisesta,0
Koko budjetti,VALTIOVARAINMINISTERIÖN HALLINNONALA,EU ja kansainväliset järjestöt,Valtion takaussuoritukset,800000
Koko budjetti,VALTIOVARAINMINISTERIÖN HALLINNONALA,Erikseen budjetoidut valtionhallinnon menot,Pankkiveron tuoton käyttö,133000000
Koko budjetti,VALTIOVARAINMINISTERIÖN HALLINNONALA,Erikseen budjetoidut valtionhallinnon menot,Satunnaiset säädösperusteiset menot,300000
Koko budjetti,VALTIOVARAINMINISTERIÖN HALLINNONALA,Erikseen budjetoidut valtionhallinnon menot,Ennakoimattomat menot,5000000
Koko budjetti,VALTIOVARAINMINISTERIÖN HALLINNONALA,Erikseen budjetoidut valtionhallinnon menot,Valtion saatavien turvaaminen,150000
Koko budjetti,OPETUS- JA KULTTUURIMINISTERIÖN HALLINNONALA,Hallinto kirkollisasiat ja toimialan yhteiset menot,Opetus- ja kulttuuriministeriön toimintamenot,27776000
Koko budjetti,OPETUS- JA KULTTUURIMINISTERIÖN HALLINNONALA,Hallinto kirkollisasiat ja toimialan yhteiset menot,Opetushallituksen toimintamenot,22668000
Koko budjetti,OPETUS- JA KULTTUURIMINISTERIÖN HALLINNONALA,Hallinto kirkollisasiat ja toimialan yhteiset menot,Kansainvälisen liikkuvuuden ja yhteistyön keskuksen CIMOn toimintamenot,8655000
Koko budjetti,OPETUS- JA KULTTUURIMINISTERIÖN HALLINNONALA,Hallinto kirkollisasiat ja toimialan yhteiset menot,Koulutuksen ja korkeakoulujen arviointi,3575000
Koko budjetti,OPETUS- JA KULTTUURIMINISTERIÖN HALLINNONALA,Hallinto kirkollisasiat ja toimialan yhteiset menot,Kansainvälinen yhteistyö,3726000
Koko budjetti,OPETUS- JA KULTTUURIMINISTERIÖN HALLINNONALA,Hallinto kirkollisasiat ja toimialan yhteiset menot,Eräät käyttöoikeuskorvaukset,18338000
Koko budjetti,OPETUS- JA KULTTUURIMINISTERIÖN HALLINNONALA,Hallinto kirkollisasiat ja toimialan yhteiset menot,Opetus- ja kulttuuriministeriön hallinnonalan tuottavuusmääräraha,1994000
Koko budjetti,OPETUS- JA KULTTUURIMINISTERIÖN HALLINNONALA,Hallinto kirkollisasiat ja toimialan yhteiset menot,Opetus- ja kulttuuriministeriön hallinnonalan arvonlisäveromenot,30803000
Koko budjetti,OPETUS- JA KULTTUURIMINISTERIÖN HALLINNONALA,Hallinto kirkollisasiat ja toimialan yhteiset menot,Eräät avustukset,748000
Koko budjetti,OPETUS- JA KULTTUURIMINISTERIÖN HALLINNONALA,Hallinto kirkollisasiat ja toimialan yhteiset menot,Avustukset kirkolliseen ja uskonnolliseen toimintaan,3298000
Koko budjetti,OPETUS- JA KULTTUURIMINISTERIÖN HALLINNONALA,Hallinto kirkollisasiat ja toimialan yhteiset menot,Rahoitusosuudet kansainvälisille järjestöille,2182000
Koko budjetti,OPETUS- JA KULTTUURIMINISTERIÖN HALLINNONALA,Yleissivistävä koulutus,Valtion yleissivistävän koulutuksen toimintamenot,50924000
Koko budjetti,OPETUS- JA KULTTUURIMINISTERIÖN HALLINNONALA,Yleissivistävä koulutus,Ylioppilastutkintolautakunnan toimintamenot,1949000
Koko budjetti,OPETUS- JA KULTTUURIMINISTERIÖN HALLINNONALA,Yleissivistävä koulutus,Yleissivistävän koulutuksen ja lasten päivähoidon kehittäminen,12717000
Koko budjetti,OPETUS- JA KULTTUURIMINISTERIÖN HALLINNONALA,Yleissivistävä koulutus,Valtionosuus ja -avustus yleissivistävän koulutuksen käyttökustannuksiin,844023000
Koko budjetti,OPETUS- JA KULTTUURIMINISTERIÖN HALLINNONALA,Yleissivistävä koulutus,Valtionosuus ja -avustus oppilaitosten perustamiskustannuksiin,46400000
Koko budjetti,OPETUS- JA KULTTUURIMINISTERIÖN HALLINNONALA,Yleissivistävä koulutus,Valtionavustus järjestöille,1303000
Koko budjetti,OPETUS- JA KULTTUURIMINISTERIÖN HALLINNONALA,Ammatillinen koulutus,Valtion ammatillisen koulutuksen toimintamenot,8494000
Koko budjetti,OPETUS- JA KULTTUURIMINISTERIÖN HALLINNONALA,Ammatillinen koulutus,Työpaikalla tapahtuva oppiminen,3026000
Koko budjetti,OPETUS- JA KULTTUURIMINISTERIÖN HALLINNONALA,Ammatillinen koulutus,Ammatillisen koulutuksen kehittäminen,1339000
Koko budjetti,OPETUS- JA KULTTUURIMINISTERIÖN HALLINNONALA,Ammatillinen koulutus,Valtionosuus ja -avustus ammatillisen koulutuksen käyttökustannuksiin,722067000
Koko budjetti,OPETUS- JA KULTTUURIMINISTERIÖN HALLINNONALA,Aikuiskoulutus,Opetustoimen henkilöstökoulutus ja eräät muut menot,23147000
Koko budjetti,OPETUS- JA KULTTUURIMINISTERIÖN HALLINNONALA,Aikuiskoulutus,Aikuiskoulutuksen kehittäminen,3010000
Koko budjetti,OPETUS- JA KULTTUURIMINISTERIÖN HALLINNONALA,Aikuiskoulutus,Valtionosuus vapaan sivistystyön oppilaitosten käyttökustannuksiin,164818000
Koko budjetti,OPETUS- JA KULTTUURIMINISTERIÖN HALLINNONALA,Aikuiskoulutus,Valtionosuus ja -avustus ammatilliseen lisäkoulutukseen,138075000
Koko budjetti,OPETUS- JA KULTTUURIMINISTERIÖN HALLINNONALA,Aikuiskoulutus,Valtionosuus ja -avustus oppisopimuskoulutukseen,124843000
